,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0084765865188208,4.42359054850755
2,0.002,0.0,0.0169531730376417,8.847181097015104
3,0.003,0.0,0.0254297595564627,13.27077164552268
4,0.004,0.0,0.0339063460752835,17.694362194030212
5,0.005,0.0,0.0423829325941045,22.1179527425378
6,0.006,0.0,0.0508595191129254,26.54154329104537
7,0.007,0.0,0.0593361056317464,30.96513383955292
8,0.008,4.775144651092674e-07,0.0678126921505671,35.38872438806042
9,0.009,3.610987278080664e-06,0.0762892786693879,39.81231493656806
10,0.01,1.4204536190766497e-05,0.084765865188209,44.23590548507559
11,0.011,1.937925146384137e-05,0.0932424517070298,48.65949603358312
12,0.012,4.126204930823632e-05,0.1017190382258508,53.08308658209075
13,0.013,8.050947367206259e-05,0.1101956247446717,57.50667713059812
14,0.014,0.00014914427573275296,0.1186722112634929,61.930267679105846
15,0.015,0.0002445501294599616,0.1271487977823136,66.35385822761312
16,0.016,0.000380429809163489,0.1356253843011342,70.77744877612082
17,0.017,0.0005860043874213391,0.1441019708199551,75.20103932462837
18,0.018,0.000798318891896118,0.1525785573387759,79.62462987313614
19,0.019,0.0011721323321656,0.1610551438575974,84.0482204216437
20,0.02,0.0015725291265035,0.169531730376418,88.47181097015118
21,0.021,0.0021205420226986,0.1780083168952385,92.89540151865847
22,0.022,0.0027122918709458,0.1864849034140596,97.3189920671663
23,0.023,0.0033199903658918,0.1949614899328804,101.7425826156737
24,0.024,0.0040588630981877,0.2034380764517016,106.16617316418143
25,0.025,0.004859881054498,0.2119146629705229,110.58976371268899
26,0.026,0.0058502394233492,0.2203911083639031,115.0132493714237
27,0.027,0.006918496887886,0.2288674978981062,119.43669342768428
28,0.028,0.0082903198235034,0.237343792878583,123.86007378780337
29,0.029,0.0097973166303447,0.2458197733006259,128.2832292035946
30,0.03,0.0113592806341154,0.254295374576883,132.7060967408796
31,0.031,0.0131329657507858,0.2627709845555006,137.12897098893566
32,0.032,0.0148810802990411,0.2712457801720173,141.55149054897717
33,0.033,0.0167022361943901,0.2797197937080093,145.97356494293433
34,0.034,0.0188204485641749,0.2881925360132634,150.39484443019384
35,0.035,0.0208427133316319,0.2966653695779541,154.81608128925154
36,0.036,0.0228603243648253,0.3051383193295528,159.23735180865359
37,0.037,0.0251722807099439,0.313610462334095,163.65808730048388
38,0.038,0.0276186667952347,0.3220805743055848,168.077757721951
39,0.039,0.0302403192002699,0.330549029207154,172.49651190820705
40,0.04,0.0329142437864648,0.3390158909740992,176.91426120624462
41,0.041,0.0355967899291627,0.3474813629737727,181.3312123897431
42,0.042,0.0383045453224829,0.3559458701830566,185.74752236675104
43,0.043,0.0412244056655127,0.3644074656588106,190.16199866143037
44,0.044,0.044132541176778,0.3728651008828805,194.57434468314918
45,0.045,0.0472293672606048,0.3813184990818438,198.98443423132252
46,0.046,0.0503819367788436,0.3897669739881905,203.3917798711685
47,0.047,0.0537600622357339,0.3982097290749767,207.7958486105374
48,0.048,0.0571688878166655,0.4066482309777607,212.19720623154083
49,0.049,0.060504255091374,0.4150813022008197,216.59520627721562
50,0.05,0.0641207959873674,0.4235116649033152,220.99123838617035
51,0.051,0.0678008138597531,0.4319391427557281,225.3856328192834
52,0.052,0.0714271714750739,0.4403598901481558,229.77685397863706
53,0.053,0.0753257223374192,0.4487730310959933,234.16433592670654
54,0.054,0.0791689531839194,0.4571745808578891,238.54584177897408
55,0.055,0.0831764423894599,0.4655661177736468,242.9219973293622
56,0.056,0.0873472260761334,0.4739490032292019,247.29320438968102
57,0.057,0.0917503312100159,0.4823232849950731,251.6594777991787
58,0.058,0.0962840537407447,0.4906912716479424,256.02198907325374
59,0.059,0.1008079724554704,0.4990553847478476,260.38205738504445
60,0.06,0.1055718920358722,0.5074100682739514,264.7372452487438
61,0.061,0.1103683437651394,0.5157489899743639,269.08456801370477
62,0.062,0.114902370366504,0.5240772775179148,273.4262133723049
63,0.063,0.1195923221338878,0.5323930563698237,277.76108112548087
64,0.064,0.124475254182985,0.5406924493228995,282.0874449453145
65,0.065,0.1297378920339931,0.5489785532415717,286.40671367675753
66,0.066,0.1345863239858938,0.5572495104275537,290.71763663727853
67,0.067,0.1393478626405242,0.5655056415896008,295.0204589837006
68,0.068,0.1443257903594451,0.5737449302416567,299.31401614405735
69,0.069,0.1495906592191837,0.5819662750294929,303.59816287556004
70,0.07,0.1548260417808971,0.5901704723263419,307.8733335783124
71,0.071,0.1599073564765097,0.5983558255302293,312.1384026611029
72,0.072,0.1648392995195304,0.6065233707883395,316.3935476161744
73,0.073,0.1698938063896197,0.6146757026797,320.6407498170225
74,0.074,0.1749168239784989,0.6228077903711844,324.8771949921887
75,0.075,0.1801247545324684,0.6309239299563576,329.1045613890276
76,0.076,0.1851985793217627,0.6390163856452299,333.3190767005377
77,0.077,0.1901190845555247,0.6470950056651638,337.5262381458821
78,0.078,0.1952098676602994,0.6551511446540308,341.72187902890613
79,0.079,0.2002386869297528,0.6631854495458486,345.90661961523193
80,0.08,0.2049715891687827,0.6711955551087169,350.07861789265473
81,0.081,0.21010772747617,0.6791869985855062,354.2403913295703
82,0.082,0.2151791087071656,0.6871563282453931,358.3907966976312
83,0.083,0.2201817399338177,0.6950995087828857,362.52739326008646
84,0.084,0.2251850390637448,0.703025089592626,366.6545099939412
85,0.085,0.2304315394218479,0.7109277420600174,370.769298128574
86,0.086,0.235695000706048,0.7188036337950212,374.87065459613
87,0.087,0.2409067073357549,0.7266499518640186,378.9570678211732
88,0.088,0.2457235065231544,0.7344747181949428,383.03236387461646
89,0.089,0.2508959183171629,0.7422667962397258,387.09108668163054
90,0.09,0.2558358386146727,0.7500312288772392,391.1353560868385
91,0.091,0.2607839052513514,0.7577587219696553,395.16116971318
92,0.092,0.2657849682404041,0.7654604673763283,399.1735308636525
93,0.093,0.2704309164759034,0.7730061846093412,403.10541384338865
94,0.094,0.2754130628222163,0.7806457617427957,407.0861953969543
95,0.095,0.2802822989233088,0.7882566050258539,411.0520655420137
96,0.096,0.2852078231253874,0.7958391090933964,415.0032739501677
97,0.097,0.2900544121222992,0.8033979602212876,418.94191341165975
98,0.098,0.2946893956915633,0.810925639199214,422.86366979566697
99,0.099,0.2994873843529764,0.8184241196292675,426.7696880426952
100,0.1,0.30424558293346,0.8258933078592834,430.65957178180525
