,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0102954403331639,5.389346811125364
2,0.002,0.0,0.0205908806663279,10.778693622250724
3,0.003,0.0,0.0308863209994919,16.16804043337612
4,0.004,0.0,0.0411817613326558,21.55738724450145
5,0.005,0.0,0.0514772016658199,26.946734055626884
6,0.006,0.0,0.0617726419989839,32.33608086675224
7,0.007,3.2989419697881845e-06,0.072068082332148,37.72542767787765
8,0.008,1.3907882971363876e-05,0.0823635226653118,43.114774489002905
9,0.009,3.7708362411469486e-05,0.092658962998476,48.50412130012823
10,0.01,7.608968544327798e-05,0.1029544033316399,53.89346811125375
11,0.011,0.0001626274574158235,0.113249843664804,59.28281492237907
12,0.012,0.00028514937350352764,0.1235452839979677,64.67216173350448
13,0.013,0.0004442841841686733,0.1338407243311317,70.06150854463007
14,0.014,0.0005861014275517923,0.1441361646642959,75.45085535575527
15,0.015,0.000863774240487616,0.1544316049974597,80.84020216688049
16,0.016,0.0012543886005536,0.1647270453306236,86.22954897800581
17,0.017,0.00172540695538,0.1750224856637879,91.61889578913127
18,0.018,0.002192708856336,0.1853179259969521,97.00824260025647
19,0.019,0.0027805326079986,0.1956133663301158,102.39758941138209
20,0.02,0.0034192928545475,0.2059088066632798,107.78693622250753
21,0.021,0.0043729240825402,0.2162042469964438,113.1762830336328
22,0.022,0.0052617970198327,0.2264994250739206,118.56545468572129
23,0.023,0.0063275820559602,0.2367932919161892,123.95374595069156
24,0.024,0.0074873229661506,0.2470867325222998,129.34174960581024
25,0.025,0.0088243730008305,0.2573798581712344,134.72969912488912
26,0.026,0.0104425813170117,0.2676724214299626,140.1174083182248
27,0.027,0.0121590591699222,0.277962485838841,145.50368519663184
28,0.028,0.0141785177136835,0.2882478889004161,150.8873840958684
29,0.029,0.0164919688608851,0.2985327598257327,156.27058210383026
30,0.03,0.0191763587140899,0.3088171655580476,161.65316983891586
31,0.031,0.0222102294541953,0.3190973433425079,167.03334477292705
32,0.032,0.025890349328624,0.3293757792368532,172.4125547920751
33,0.033,0.0297497139308811,0.3396493262323423,177.7888432766649
34,0.034,0.0341981301731555,0.3499146161780024,183.16062854878948
35,0.035,0.0388205096882969,0.3601745130270865,188.52929753670327
36,0.036,0.043037839126018,0.3704293568737516,193.89486099993715
37,0.037,0.0478674404444787,0.3806780998598745,199.2568583803876
38,0.038,0.052550147770983,0.3909190880153101,204.6145058801481
39,0.039,0.0574910029460623,0.4011527984456365,209.96858335742178
40,0.04,0.0628989648682449,0.4113782839128198,215.31862048130478
41,0.041,0.0684973880830356,0.4215933030841726,220.66359292746068
42,0.042,0.0741714809253918,0.4317960569314794,226.00226412890322
43,0.043,0.0803843385602746,0.441986446544854,231.3349325214233
44,0.044,0.086670073880899,0.452173410467184,236.66545533683262
45,0.045,0.0932108959911365,0.4623592608827238,241.99455803348928
46,0.046,0.0996235905240268,0.4725334375936089,247.31748344615414
47,0.047,0.1060903416465219,0.4826873856538226,252.6304030590462
48,0.048,0.1126567571287466,0.4928224680075727,257.93364072001714
49,0.049,0.1194900202453958,0.5029399821457392,263.2267985374895
50,0.05,0.1264957320650524,0.5130509024892035,268.51568226085385
51,0.051,0.1332415804667831,0.5231441097118937,273.7952644203393
52,0.052,0.1398370955142605,0.5332137994981856,279.0629237839861
53,0.053,0.1471758017776176,0.5432633272679087,284.31998327919825
54,0.054,0.1542654111200291,0.5532922147949865,289.56599436456673
55,0.055,0.1613082481607494,0.5632987540435007,294.7995738363524
56,0.056,0.1681460211248208,0.5732910117492059,300.0245056277447
57,0.057,0.1751070361920021,0.5832698897826433,305.2413976236455
58,0.058,0.1819877224713633,0.5932401950837899,310.4528038194057
59,0.059,0.1889928526218741,0.6031883204969225,315.65292014109247
60,0.06,0.1962159681752999,0.6131255470827986,320.84724493210126
61,0.061,0.2032912873544622,0.6230375627023003,326.0279274503172
62,0.062,0.2101678711674539,0.6329398649991048,331.2035189114309
63,0.063,0.2167617863521095,0.6427529753828883,336.33248363112625
64,0.064,0.2234817153739771,0.6525820790221575,341.4702440335185
65,0.065,0.2299303254726398,0.6623842295351393,346.5941717968367
66,0.066,0.2365126951596329,0.6721544788489838,351.70177272668155
67,0.067,0.2426478106535455,0.6818930662695804,356.7925611376813
68,0.068,0.2491171347658947,0.6916040035123733,361.86910227324245
69,0.069,0.2555200449851864,0.7012888798536274,366.93129922586814
70,0.07,0.2617774073626062,0.7109492793483193,371.97999111524894
71,0.071,0.2681660110548446,0.7205828046373062,377.01356426507067
72,0.072,0.2745815131729335,0.7301919276136298,382.03419255112533
73,0.073,0.281071751262858,0.7397674793445228,387.0370574803816
74,0.074,0.287482543802003,0.7493138584228767,392.0242035723746
75,0.075,0.293422949623476,0.7588250225059454,396.99289603024494
76,0.076,0.2995714771045386,0.7683043968298385,401.94604970451695
77,0.077,0.3056142978185377,0.7777535136143661,406.88375088322357
78,0.078,0.3118105219292203,0.7871677001682748,411.80359591169275
79,0.079,0.3175640898936065,0.7965397797778355,416.70260299068303
80,0.08,0.323119592301987,0.8058772160996514,421.58377403146204
81,0.081,0.3285250944065557,0.8151764272549968,426.44590517498733
82,0.082,0.3338660706200569,0.8244437157751423,431.2919821523035
83,0.083,0.3393795869212427,0.8336853466205442,436.1231246050239
84,0.084,0.3448148985254927,0.8428921823731453,440.9353585667977
85,0.085,0.3502256570555278,0.8520700587855945,445.7310677616733
86,0.086,0.3556687642204015,0.8612133419319928,450.50710861457475
87,0.087,0.3611344573571361,0.8703209004247286,455.26375944288816
88,0.088,0.3663814687651308,0.879387243720002,459.99782251402127
89,0.089,0.3716191836230329,0.8884126450946987,464.7107379815035
90,0.09,0.3765593508150279,0.8974011504549807,469.40460337402016
91,0.091,0.3813880387351307,0.90634796163689,474.07659592688816
92,0.092,0.3862417970811491,0.9152484453035452,478.72474938311115
93,0.093,0.3908898977193805,0.9241115818881976,483.35342328271787
94,0.094,0.3957279747190078,0.9329277601894144,487.9580867542204
95,0.095,0.400160638773347,0.941697062503836,492.5408716195488
96,0.096,0.4047948374061722,0.9504208858804436,497.10121691364117
97,0.097,0.4089201416702315,0.9591041278220158,501.6411916916725
98,0.098,0.413221200832799,0.9677409128115666,506.15683278101807
99,0.099,0.4173467105056038,0.9763302288017786,510.64732153207376
100,0.1,0.4214409277474382,0.9848804197953052,515.1168353593453
