,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0087591993684875,4.578350354623769
2,0.002,0.0,0.017518398736975,9.15670070924754
3,0.003,0.0,0.0262775981054623,13.73505106387134
4,0.004,0.0,0.03503679747395,18.313401418495076
5,0.005,0.0,0.0437959968424373,22.89175177311888
6,0.006,0.0,0.0525551962109247,27.47010212774267
7,0.007,1.0049527148230125e-06,0.0613143955794126,32.048452482366415
8,0.008,1.893503070345283e-05,0.0700735949479,36.62680283699013
9,0.009,6.0267500474112176e-05,0.0788327943163872,41.20515319161391
10,0.01,0.00016279553114516282,0.0875919936848745,45.78350354623776
11,0.011,0.00028765660622993166,0.0963511930533621,50.361853900861384
12,0.012,0.0003978333467069986,0.1051103924218494,54.94020425548536
13,0.013,0.0006213740771517909,0.1138695917903371,59.51855461010911
14,0.014,0.0008178191017370253,0.1226287911588253,64.09690496473283
15,0.015,0.0010600186216513,0.1313879905273121,68.6752553193564
16,0.016,0.0012958700371493,0.1401471898958,73.25360567398027
17,0.017,0.0016291588765825,0.1489063892642874,77.83195602860403
18,0.018,0.0019875469910506,0.1576655886327744,82.41030638322773
19,0.019,0.0023282907343686,0.1664247880012626,86.98865673785177
20,0.02,0.0027122532152625,0.1751839873697492,91.5670070924755
21,0.021,0.0031106343027614,0.1839431867382368,96.14535744709922
22,0.022,0.00370875252048,0.1927023861067242,100.72370780172288
23,0.023,0.0044063144704773,0.2014611906107734,105.30180648112598
24,0.024,0.0051182013641314,0.2102192984678388,109.87946599832027
25,0.025,0.0058847576362067,0.2189759481410022,114.45620887147824
26,0.026,0.0067721576315482,0.227731063067116,119.03197229368237
27,0.027,0.0078530020368464,0.2364800623236777,123.6040366520895
28,0.028,0.0089113749005124,0.2452249550812739,128.17385932585145
29,0.029,0.0102162119051951,0.253964251506159,132.74056733039055
30,0.03,0.0117475063742251,0.2626966159184467,137.3032607382097
31,0.031,0.0132341459063093,0.2714241544469544,141.86335664476144
32,0.032,0.0147482266666442,0.2801417613345129,146.41894288004636
33,0.033,0.0165102860829765,0.288845654052785,150.9679009187021
34,0.034,0.0182777429091583,0.2975299850300155,155.50668784191916
35,0.035,0.0202616518046743,0.3062037802840075,160.03948365998392
36,0.036,0.0223836479544243,0.3148739502153216,164.5698347071019
37,0.037,0.0245243201690462,0.3235422604961288,169.0979747431154
38,0.038,0.0266730900376338,0.3322099592534713,173.62443929670178
39,0.039,0.0290769766602118,0.3408622191828355,178.1436263595137
40,0.04,0.0313943664727926,0.349490028234181,182.6512648381195
41,0.041,0.0337933427067298,0.3580984331227588,187.14916605847768
42,0.042,0.0362203442142087,0.3666872035757706,191.63685074979966
43,0.043,0.0387979939661651,0.3752537993538216,196.11300195984003
44,0.044,0.0414999195867192,0.3838006140324497,200.5787886790299
45,0.045,0.0443484278267109,0.3923388089844943,205.03887408028817
46,0.046,0.0468852843937133,0.4008631080065122,209.49041150336575
47,0.047,0.0496223734000103,0.4093715621437988,213.93290453357486
48,0.048,0.052701705524918,0.4178673157062638,218.3682302867447
49,0.049,0.0556007786909198,0.426329299739785,222.78552286449664
50,0.05,0.0587935343553604,0.4348119223017624,227.21369037682044
51,0.051,0.06176547980074,0.4432540234252495,231.6205259065853
52,0.052,0.0649999980695417,0.4516553439535261,236.00627103980622
53,0.053,0.0681587160858584,0.4599941380912865,240.35985351177598
54,0.054,0.0714852495816888,0.4683380170332385,244.7166209337834
55,0.055,0.0747172365382761,0.476658096511827,249.06100369174158
56,0.056,0.0780071185668899,0.4849545886559315,253.39242021092412
57,0.057,0.08142487208238,0.4932391871605878,257.7171343500439
58,0.058,0.0848628243600519,0.5015147295762559,262.0358425776985
59,0.059,0.0883837407752482,0.5097728094651875,266.3447164662413
60,0.06,0.0919141995606904,0.5180028841424786,270.63918463670177
61,0.061,0.0957106509532932,0.526209202609191,274.9211734726838
62,0.062,0.0994981791285491,0.534396433110794,279.19301348769096
63,0.063,0.1034637147998902,0.5425581297582008,283.45179949822847
64,0.064,0.1073601074825491,0.5506915317600232,287.69588964577514
65,0.065,0.1115438411231456,0.5587945292257709,291.92413663114843
66,0.066,0.1155939532915616,0.5668702350711391,296.1378988256972
67,0.067,0.119828824338693,0.574926126774357,300.341535251236
68,0.068,0.1242800208067329,0.5829641685986933,304.53576474192045
69,0.069,0.1284280723969782,0.5909829729540707,308.7195904001221
70,0.07,0.1328531835149819,0.5989724038192517,312.8882693089655
71,0.071,0.1375572959026928,0.6069356944034163,317.04257730539575
72,0.072,0.1419968092019464,0.6148812646556389,321.1872347364778
73,0.073,0.1468158280966457,0.622806909612954,325.3209420160239
74,0.074,0.1514003181666252,0.630712634777969,329.4439266909181
75,0.075,0.1559539025660644,0.638604222057662,333.5589397750192
76,0.076,0.160648879870613,0.6464697499728366,337.66063601872776
77,0.077,0.1652568873534834,0.6543108854942703,341.74946200735474
78,0.078,0.1700878578446136,0.6621250183143864,345.8235288656201
79,0.079,0.174800140689404,0.6699132381606595,349.88421262542886
80,0.08,0.1795374197122117,0.6776703952092242,353.92888454823486
81,0.081,0.184110804227402,0.6854017374642439,357.96052951134146
82,0.082,0.1887531193820077,0.6931071874696525,361.9789964883838
83,0.083,0.1931753831882507,0.7007842811781805,365.9829005293725
84,0.084,0.1978044108996571,0.7084359316508583,369.9730315751966
85,0.085,0.2022936725827521,0.7160653792597609,373.95022730349496
86,0.086,0.2067846623174047,0.7236706446545381,377.91403285143457
87,0.087,0.211445220807834,0.7312560050299979,381.8668296118342
88,0.088,0.2161370245995013,0.7388241771897184,385.8098313731295
89,0.089,0.2205533948978388,0.7463665596067797,389.7395630219801
90,0.09,0.2249935931455148,0.7538854602579121,393.656876309094
91,0.091,0.2294897548663765,0.7613790813652845,397.56079041211467
92,0.092,0.2339744160634302,0.7688486405888526,401.45235638061297
93,0.093,0.2384082137204886,0.7762932913645749,405.33096453229115
94,0.094,0.2427421145062741,0.7837152634707563,409.19749004791
95,0.095,0.2469608375851157,0.7911099539110092,413.04970084992345
96,0.096,0.2514333239454581,0.7984753285537839,416.88631566116646
97,0.097,0.2557494169414192,0.8058137482702039,420.70848154716714
98,0.098,0.2600880886314184,0.8131208534407878,424.51394355801415
99,0.099,0.2642378989288307,0.8204057103855966,428.3073916756191
100,0.1,0.2683026057706786,0.8276657512136529,432.087452071175
