,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.0005,0.0,0.0054756417760388,2.867606850720889
2,0.001,0.0,0.0109512835520777,5.7352137014417774
3,0.0015,0.0,0.0164269253281166,8.602820552162655
4,0.002,0.0,0.0219025671041554,11.470427402883557
5,0.0025,0.0,0.0273782088801944,14.33803425360446
6,0.003,0.0,0.0328538506562333,17.20564110432532
7,0.0035,0.0,0.0383294924322722,20.073247955046263
8,0.004,0.0,0.0438051342083109,22.94085480576711
9,0.0045,0.0,0.0492807759843498,25.80846165648794
10,0.005,0.0,0.0547564177603888,28.676068507208928
11,0.0055,0.0,0.0602320595364274,31.543675357929825
12,0.006,0.0,0.0657077013124666,34.411282208650604
13,0.0065,0.0,0.0711833430885054,37.27888905937162
14,0.007,4.046770699218751e-07,0.0766589848645445,40.14649591009247
15,0.0075,4.046770699218751e-07,0.0821346266405831,43.0141027608132
16,0.008,4.046770699218751e-07,0.0876102684166219,45.88170961153425
17,0.0085,3.507798163655622e-06,0.0930859101926608,48.74931646225488
18,0.009,8.596284574009855e-06,0.0985615519686996,51.616923312975885
19,0.0095,1.564391021243088e-05,0.1040371937447389,54.48453016369676
20,0.01,3.098439169321993e-05,0.1095128355207777,57.352137014417856
21,0.0105,5.880780448619686e-05,0.1149884772968162,60.21974386513865
22,0.011,0.00015884375151455174,0.1204641190728548,63.087350715859664
23,0.0115,0.0003403814744619822,0.1259397608488941,65.95495756658043
24,0.012,0.0006085291704201944,0.1314154026249332,68.82256441730121
25,0.0125,0.0008275449859423532,0.1368910444009721,71.6901712680222
26,0.013,0.0010298555589234,0.1423666861770109,74.55777811874317
27,0.0135,0.0012172046783687,0.14784232795305,77.42538496946418
28,0.014,0.0013329119943943,0.1533179697290891,80.29299182018501
29,0.0145,0.0015092961079278,0.1587936115051275,83.16059867090588
30,0.015,0.0018594089325092,0.1642692532811663,86.02820552162645
31,0.0155,0.0021342820513621,0.169744895057205,88.89581237234718
32,0.016,0.0024594664592899,0.1752205368332438,91.76341922306844
33,0.0165,0.0029049600553669,0.180696178609283,94.63102607378929
34,0.017,0.0034736507211852,0.1861718203853216,97.49863292450972
35,0.0175,0.0041296167273585,0.1916474621613609,100.36623977523088
36,0.018,0.0047923180220896,0.1971231039373992,103.23384662595186
37,0.0185,0.0055952671162683,0.2025987457134382,106.10145347667272
38,0.019,0.006367806202623,0.2080743874894781,108.96906032739358
39,0.0195,0.0072077975385406,0.2135500292655168,111.83666717811457
40,0.02,0.0080366430904291,0.2190256710415551,114.70427402883571
41,0.0205,0.0089690860053098,0.2245013128175945,117.57188087955656
42,0.021,0.0098425512779762,0.2299769545936326,120.43948773027739
43,0.0215,0.0108251434343978,0.2354525963696712,123.30709458099777
44,0.022,0.0117013904277783,0.2409282381457098,126.17470143171924
45,0.0225,0.0126301679080872,0.2464038014044415,129.0422556099665
46,0.023,0.0136819627338493,0.2518793136885523,131.90977558037667
47,0.0235,0.0146355318979408,0.2573548261090207,134.777295628027
48,0.024,0.0157184965009952,0.2628303386575691,137.64481574822548
49,0.0245,0.0168292989539282,0.2683059111660106,140.51237610620663
50,0.025,0.018068584292375,0.2737814843830763,143.37993693693807
51,0.0255,0.0193706946592005,0.2792570576266379,146.2474977827365
52,0.026,0.0207250811308315,0.2847326308951862,149.11505864274133
53,0.0265,0.0221439845007035,0.2902082041873162,151.9826195161568
54,0.027,0.0235875200050334,0.295683777501736,154.85018040224463
55,0.0275,0.025136167479222,0.3011593484451412,157.71773969021416
56,0.028,0.0265621871354725,0.3066348250588086,160.5852310308686
