,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0084677592422411,4.425973216485708
2,0.002,0.0,0.0169355184844822,8.851946432971413
3,0.003,0.0,0.0254032777267232,13.27791964945717
4,0.004,1.503088889273565e-06,0.0338710369689644,17.703892865942834
5,0.005,7.863756708462386e-06,0.0423387962112055,22.12986608242854
6,0.006,2.405041259249169e-05,0.0508065554534464,26.555839298914336
7,0.007,6.586670909014784e-05,0.0592743146956875,30.981812515399955
8,0.008,0.000103768805286601,0.0677420739379288,35.40778573188568
9,0.009,0.00017464965180863983,0.0762098331801698,39.833758948371404
10,0.01,0.0002837302140438115,0.0846775924224111,44.2597321648571
11,0.011,0.0004100659087079448,0.0931453516646522,48.68570538134275
12,0.012,0.0005753121872761238,0.1016122720986282,53.11116973050031
13,0.013,0.0007653284565486963,0.1100785889062191,57.53625906843564
14,0.014,0.00097195040050471,0.1185443552143616,61.961012722987334
15,0.015,0.0012101508992975,0.1270100013380642,66.38568922258123
16,0.016,0.001550934699823,0.1354735713826777,70.80913789889217
17,0.017,0.0019563220819455,0.1439342362630823,75.230898764062
18,0.018,0.0025968514756551,0.1523888745193051,79.64935220886831
19,0.019,0.0034467938503974,0.1608413084653909,84.06653333609194
20,0.02,0.0045329817921205,0.169292151054434,88.4826337679877
21,0.021,0.0059609001699242,0.1777368172771298,92.89540377297575
22,0.022,0.007465580911515,0.1861750799955054,97.30481547068884
23,0.023,0.0092150247327314,0.1946020499796476,101.7082063700654
24,0.024,0.0111587604996862,0.2030235419080264,106.10789363267456
25,0.025,0.0132036848889984,0.2114425731575373,110.50589307613356
26,0.026,0.0151991808041905,0.2198574252780885,114.90178542880017
27,0.027,0.0173304218234563,0.2282636663636007,119.29331711081362
28,0.028,0.0197377904580611,0.2366570497301965,123.67840084333004
29,0.029,0.0222140168520536,0.2450391637256657,128.05759553798586
30,0.03,0.0246008460197696,0.2534097819069631,132.4309288042928
31,0.031,0.0271935866842458,0.2617700829937991,136.79883100794564
32,0.032,0.0294702726083849,0.2701237933634508,141.1627838784668
33,0.033,0.0319491535592674,0.2784669385878779,145.52057349011858
34,0.034,0.0343873815860741,0.2867952014716641,149.87094241091089
35,0.035,0.0367090958623974,0.2951100835309765,154.21489792728488
36,0.036,0.0390377816337654,0.3034120076529244,158.55220307881763
37,0.037,0.041624176125931,0.31170179271156,162.88335191741317
38,0.038,0.044530596652351,0.319979755839586,167.20796544700477
39,0.039,0.0472615416002915,0.3282375713204251,171.5222608290198
40,0.04,0.049957054639448,0.3364773579844932,175.82736762684434
41,0.041,0.0527466192354424,0.3447030581543679,180.12528165163238
42,0.042,0.0555586020733879,0.3529184144725519,184.4178225800689
43,0.043,0.0586956628832173,0.3611163219704521,188.70109883209017
44,0.044,0.0619240452386224,0.3693017771391342,192.97745716011863
45,0.045,0.0653409855633177,0.3774737233921167,197.247005807323
46,0.046,0.0689848168740103,0.3856328807698423,201.50880317010478
47,0.047,0.0723918103213123,0.3937829839754959,205.76541339384298
48,0.048,0.0759745514915208,0.4019112567953229,210.01111361386532
49,0.049,0.0793854972148485,0.4100176354323362,214.24571709374985
50,0.05,0.0827706847301074,0.4181101131501776,218.4728711617179
51,0.051,0.0863698062736634,0.4261859050342527,222.6909328057397
52,0.052,0.0899328371288718,0.4342448199900374,226.8991930557802
53,0.053,0.0936673822664807,0.4422879652507352,231.09832144038398
54,0.054,0.097348729919492,0.450310436046376,235.28632361430908
55,0.055,0.1013900003709537,0.4583104709801441,239.46259466441768
56,0.056,0.1054485363307937,0.4662908051708609,243.62855150842248
57,0.057,0.1093837013122214,0.4742579767020042,247.78746898459448
58,0.058,0.1138385554095571,0.4822002500137269,251.9333159432179
59,0.059,0.1180992999347325,0.4901167339339144,256.0655498103794
60,0.06,0.1224514101943711,0.4980035963312816,260.1822320880495
61,0.061,0.1265388613045281,0.505856009940607,264.2807953453081
62,0.062,0.1306732254314017,0.5134507599673165,268.2449733541396
63,0.063,0.1348434094412742,0.5212318904418046,272.3057771478043
64,0.064,0.1392732764192866,0.528988183677803,276.3535201045086
65,0.065,0.1435682570648568,0.5367204299983139,280.3879873235514
66,0.066,0.1477084603256279,0.5444240159687582,284.406300869686
67,0.067,0.1520589366237258,0.5520953526666632,288.40707199977527
68,0.068,0.156432941740898,0.5597350829308977,292.3907657619309
69,0.069,0.1608053362962521,0.5673412903615537,296.357006712045
70,0.07,0.1652969910623845,0.5749130275638296,300.30592932832656
71,0.071,0.1696122380614573,0.5824531697918964,304.23872565786013
72,0.072,0.1738025459467886,0.589956266097469,308.1528701411149
73,0.073,0.178167443139631,0.5974253772874425,312.0497368968905
74,0.074,0.1826924996435753,0.604858401307367,315.9275968483717
75,0.075,0.1869638112893078,0.6122545916917744,319.78652881437887
76,0.076,0.1911311908872862,0.6196183628871872,323.62849755775
77,0.077,0.1952429400152487,0.6269510727187337,327.45436699830293
78,0.078,0.1993723167578188,0.634251239660348,331.26177309462423
79,0.079,0.2032965944366152,0.6415206221611636,335.0517426184215
80,0.08,0.2073144285818461,0.6487489468615829,338.8212102328273
81,0.081,0.2116894756033012,0.6559433922559263,342.57265569139304
82,0.082,0.2158078043322755,0.6631056953068337,346.3059892239314
83,0.083,0.2201188395320938,0.6702343459966894,350.02121539118446
84,0.084,0.2244083866846014,0.6773282226304315,353.718288082269
85,0.085,0.2286618960369342,0.6843894932113974,357.397948000925
86,0.086,0.2328254732718242,0.6914191475064505,361.060807021004
87,0.087,0.2368905387205284,0.6984157173078073,364.70634102139303
