,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0130453032869167,6.802084341046753
2,0.002,0.0,0.0260906065738335,13.604168682093512
3,0.003,0.0,0.0391359098607503,20.406253023140334
4,0.004,0.0,0.0521812131476671,27.208337364187024
5,0.005,0.0,0.0652265164345838,34.01042170523377
6,0.006,3.1386476594769677e-06,0.0782718197215007,40.81250604628066
7,0.007,2.924994844136932e-05,0.0913171230084174,47.61459038732738
8,0.008,8.239146355309762e-05,0.1043624262953342,54.41667472837403
9,0.009,0.0001879703558332764,0.1174077295822508,61.218759069420834
10,0.01,0.0004284127140599738,0.1304530328691678,68.02084341046756
11,0.011,0.0008214277888734464,0.1434983361560846,74.82292775151427
12,0.012,0.0017889251851946,0.1565436394430014,81.62501209256133
13,0.013,0.0034946666750087,0.1695889427299179,88.42709643360777
14,0.014,0.0057612415999621,0.1826342460168349,95.22918077465471
15,0.015,0.0087563599874484,0.1956795493037514,102.03126511570132
16,0.016,0.0129675698837166,0.2087248525906685,108.8333494567481
17,0.017,0.0158577062728383,0.2217701558775855,115.63543379779492
18,0.018,0.0184739844134727,0.2348152103194292,122.43735457103232
19,0.019,0.0208136776051309,0.247859790483666,129.23896152111777
20,0.02,0.0231064133809559,0.2609035209510411,136.03998808155143
21,0.021,0.0254440626022099,0.2739464633597214,142.84061496077632
22,0.022,0.0277352276786271,0.2869879860809519,149.64034253078836
23,0.023,0.0300473424140554,0.3000254341659857,156.43756802472652
24,0.024,0.0323715693694952,0.3130574102692339,163.231921692158
25,0.025,0.0350515532718503,0.326087692229788,170.02513618867684
26,0.026,0.0381020500813302,0.3391127657624126,176.8156107361363
27,0.027,0.0411216390349844,0.352131724579059,183.6026044521519
28,0.028,0.044443962937919,0.3651461004713591,190.3868504210725
29,0.029,0.0478430809597805,0.3781484902631975,197.1647895327182
30,0.03,0.0517969791776646,0.3911399687875783,203.9372108702944
31,0.031,0.0558162117161432,0.4041276057756738,210.70738494675078
32,0.032,0.0603660300635953,0.4170992843043815,217.46885782215062
33,0.033,0.0650275770885722,0.4300489990153193,224.21885233590953
34,0.034,0.069859205502252,0.4429768372700023,230.956966305975
35,0.035,0.0751890747853115,0.4558904541091287,237.68667162571808
36,0.036,0.081079134367794,0.4687818559051474,244.40353202912877
37,0.037,0.0873239264439338,0.4816419854791939,251.10317848804536
38,0.038,0.0939030321207704,0.4944729771380667,257.7862503029031
39,0.039,0.1009664427953787,0.5072546626351406,264.4424993072228
