,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0074247451892691,3.877330354273768
2,0.002,0.0,0.0148494903785382,7.754660708547541
3,0.003,0.0,0.0222742355678073,11.63199106282129
4,0.004,0.0,0.0296989807570764,15.509321417095073
5,0.005,0.0,0.0371237259463454,19.386651771368815
6,0.006,0.0,0.0445484711356147,23.263982125642578
7,0.007,9.871275498840018e-07,0.0519732163248838,27.141312479916415
8,0.008,1.350016301302564e-05,0.0593979615141529,31.018642834190146
9,0.009,3.022591295198185e-05,0.066822706703422,34.89597318846392
10,0.01,3.921153490945921e-05,0.0742474518926909,38.77330354273763
11,0.011,7.513636142417048e-05,0.0816721970819605,42.650633897011375
12,0.012,0.000138122050845012,0.0890969422712295,46.52796425128518
13,0.013,0.00022322681371873845,0.0965216874604987,50.40529460555888
14,0.014,0.00031924389643269216,0.1039464326497677,54.28262495983283
15,0.015,0.00041610248615191534,0.1113711778390365,58.159955314106405
16,0.016,0.0005178594455982352,0.1187959230283059,62.03728566838029
17,0.017,0.0006899394753857118,0.1262206682175751,65.91461602265395
18,0.018,0.0009417469409683938,0.1336454134068439,69.79194637692781
19,0.019,0.0013476146694371,0.1410701585961136,73.66927673120138
20,0.02,0.0017976939091828,0.1484949037853818,77.54660708547529
21,0.021,0.0022787303106469,0.1559196489746517,81.42393743974878
22,0.022,0.0028638662390657,0.1633443941639209,85.3012677940227
23,0.023,0.0035186997741364,0.1707685997839986,89.17826064122968
24,0.024,0.0041957704336929,0.1781918665840654,93.05467095421339
25,0.025,0.0049617207898483,0.1856129919222927,96.92974832384955
26,0.026,0.0057647361514677,0.1930319118993525,100.80355164484651
27,0.027,0.006519796054917,0.2004486199689063,104.67624517381319
28,0.028,0.0073512357871787,0.2078617174441311,108.54725077571045
29,0.029,0.0081747589142794,0.2152749209616625,112.4182741656872
30,0.03,0.0091307915292705,0.2226851760547241,116.28754787419305
31,0.031,0.0101410032202329,0.2300942286477101,120.15601327034315
32,0.032,0.0111219541437897,0.2375039353092584,124.0247509296904
33,0.033,0.0120298588076198,0.2449125018870619,127.89279440363849
34,0.034,0.0131311878616746,0.2523167364441485,131.75844260562687
35,0.035,0.014046048333012,0.2597145000184835,135.6207599363223
36,0.036,0.01516278887321,0.2671065629858558,139.47996017964869
37,0.037,0.0163790374349382,0.2744965940423817,143.33794184484606
38,0.038,0.0176472320988565,0.2818835006279755,147.19398518588594
39,0.039,0.0187365075263148,0.2892610597908714,151.0452064216001
40,0.04,0.0201641574858089,0.2966305747827478,154.8920723581443
41,0.041,0.0216116615021566,0.3039940593054865,158.7356967728985
42,0.042,0.0231757424167296,0.3113489984282887,162.57488879969668
43,0.043,0.0247479027549075,0.3186966701721264,166.41033622892334
44,0.044,0.0262830486649605,0.3260375999018116,170.24235192383918
45,0.045,0.0283133247202246,0.3333722324418337,174.0706673921555
46,0.046,0.030431190109865,0.3406969262021455,177.89373625195822
47,0.047,0.0324424059740986,0.3480172339694102,181.71441210888457
48,0.048,0.0347840728496281,0.3553276760840077,185.52985928671126
49,0.049,0.0372461377625837,0.3626317980189129,189.34173907486763
50,0.05,0.0396412504165005,0.3699279229848638,193.14929656617835
51,0.051,0.0421610827159853,0.3772153451186563,196.95224073474927
52,0.052,0.04472583424928,0.3844975410775839,200.75232433348654
53,0.053,0.0475028497606339,0.3917705293716264,204.54721318385415
54,0.054,0.0501025090170693,0.3990376127622731,208.3389906258536
55,0.055,0.0532288957260613,0.4062942512982603,212.12563790351982
56,0.056,0.0563207250392544,0.413537761037247,215.90486039083294
57,0.057,0.0597394814536858,0.420771628970583,219.6785392107668
58,0.058,0.0631878882540246,0.4279925743121793,223.44474243188762
59,0.059,0.0669666922985793,0.4351959996730129,227.20182232828367
60,0.06,0.0707432951663347,0.4423781286357347,230.94812992639197
61,0.061,0.0746988758444841,0.449537691790652,234.68291672164423
62,0.062,0.0784701522989019,0.4566827822762566,238.41034813583659
63,0.063,0.0821950610553479,0.4638089486940021,242.12771818892247
