,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.003621781286283,1.8971367136774488
2,0.002,0.0,0.007243562572566,3.794273427354896
3,0.003,0.0,0.0108653438588491,5.6914101410323275
4,0.004,0.0,0.0144871251451322,7.5885468547098025
5,0.005,0.0,0.0181089064314152,9.485683568387204
6,0.006,0.0,0.0217306877176982,11.382820282064658
7,0.007,0.0,0.0253524690039813,13.279956995742095
8,0.008,0.0,0.0289742502902644,15.177093709419587
9,0.009,0.0,0.0325960315765474,17.07423042309703
10,0.01,0.0,0.0362178128628304,18.97136713677442
11,0.011,0.0,0.0398395941491135,20.868503850451887
12,0.012,0.0,0.0434613754353965,22.76564056412932
13,0.013,0.0,0.0470831567216795,24.66277727780674
14,0.014,0.0,0.0507049380079627,26.559913991484205
15,0.015,0.0,0.0543267192942457,28.45705070516158
16,0.016,0.0,0.0579485005805288,30.354187418839196
17,0.017,0.0,0.0615702818668117,32.25132413251654
18,0.018,9.253999749210702e-07,0.0651920631530948,34.14846084619406
19,0.019,2.3605699963222286e-06,0.0688138444393778,36.04559755987134
20,0.02,4.7685295809339685e-06,0.0724356257256608,37.94273427354883
21,0.021,1.806645297884473e-05,0.0760574070119438,39.839870987226355
22,0.022,3.511322373456564e-05,0.079679188298227,41.737007700903774
23,0.023,8.250850500306603e-05,0.0833009695845099,43.63414441458117
24,0.024,0.00022335443372059217,0.0869227508707932,45.531281128258605
25,0.025,0.0005108295810166328,0.090544532157076,47.42841784193611
26,0.026,0.000646823906418677,0.0941663134433591,49.32555455561349
27,0.027,0.0008395950805986845,0.0977880947296422,51.22269126929093
28,0.028,0.0010303475676805,0.1014098760159256,53.11982798296844
29,0.029,0.0012574065909105,0.1050316573022083,55.01696469664587
30,0.03,0.0015004369361835,0.1086534385884914,56.91410141032318
31,0.031,0.0018433688688184,0.1122752198747746,58.81123812400063
32,0.032,0.0022893316085071,0.1158970011610575,60.70837483767837
33,0.033,0.0027081850493714,0.1195187824473405,62.60551155135584
34,0.034,0.0030799644592075,0.1231405637336234,64.50264826503312
35,0.035,0.0034786593456531,0.1267623450199066,66.39978497871081
36,0.036,0.0039139174493337,0.1303841263061897,68.29692169238812
37,0.037,0.0043575092327088,0.1340059075924729,70.19405840606544
38,0.038,0.0048503859303306,0.1376276888787556,72.09119511974265
39,0.039,0.005433827460035,0.1412494701650387,73.98833183342033
40,0.04,0.0060098732650566,0.1448712514513217,75.88546854709767
41,0.041,0.0066859428186671,0.1484930327376048,77.78260526077503
42,0.042,0.0075427526120763,0.1521148140238878,79.67974197445272
43,0.043,0.0085341994688756,0.1557365953101707,81.57687868813017
44,0.044,0.009501030008556,0.1593583765964541,83.47401540180759
45,0.045,0.0106032333388504,0.1629801578827366,85.37115211548475
46,0.046,0.0116940505348341,0.1666019391690198,87.26828882916234
47,0.047,0.0128986121713884,0.1702237204553031,89.16542554283994
48,0.048,0.0140747153350861,0.1738455017415862,91.06256225651731
49,0.049,0.0152867707357247,0.1774672830278693,92.95969897019464
50,0.05,0.0164072500058441,0.1810890643141519,94.85683568387206
51,0.051,0.0176842169656496,0.1847108456004355,96.75397239754952
52,0.052,0.0187832446304222,0.1883326268867183,98.651109111227
53,0.053,0.019988921228725,0.191954408173001,100.54824582490448
54,0.054,0.0212310089669284,0.1955761894592844,102.44538253858192
55,0.055,0.0225020884730006,0.1991979707455674,104.34251925225959
56,0.056,0.0237293534407152,0.202819752031851,106.23965596593683
57,0.057,0.0251142993179959,0.206441533318133,108.13679267961439
58,0.058,0.0264286667324569,0.2100633146044168,110.03392939329176
59,0.059,0.027746995572501,0.2136850894737951,111.93106175409507
60,0.06,0.0291178186664459,0.2173067523938508,113.82811840734311
61,0.061,0.030345884957589,0.2209283082069531,115.72510471019612
62,0.062,0.0315638842125014,0.2245496969109622,117.62198028448876
63,0.063,0.0327754242527948,0.22817094191773,119.51876278433963
64,0.064,0.0341917619093437,0.2317921278337619,121.41550577386568
65,0.065,0.0355104218125275,0.2354132779472655,123.31222464085832
66,0.066,0.0367903648794379,0.2390343931833315,125.20891807645518
67,0.067,0.0383292986574733,0.2426551772853179,127.10544093151131
68,0.068,0.0397183787590944,0.2462751577750987,129.00153659688704
69,0.069,0.0412051825111306,0.2498936540288763,130.89683419264946
70,0.07,0.0424239812232496,0.253511736251076,132.79189502791465
71,0.071,0.0436850016568217,0.2571289032792026,134.68640128973092
72,0.072,0.0448808868565501,0.2607455452450972,136.58056091507885
73,0.073,0.0463342285238504,0.2643619133179308,138.47457137369494
74,0.074,0.0477068243994556,0.2679773298777587,140.3679687046297
75,0.075,0.0491186527558717,0.2715906780809469,142.26019020821005
76,0.076,0.0505243601043328,0.2752023844976254,144.15142997520203
77,0.077,0.0518236314965159,0.2788129903039147,146.04189079105348
78,0.078,0.0532003770217068,0.2824209443203786,147.9307981246998
79,0.079,0.0544819458056346,0.2860225537006419,149.81613668768833
80,0.08,0.0556316128008582,0.2896151419062742,151.6965594677484
81,0.081,0.0568425292497195,0.293197002888338,153.5715582443721
82,0.082,0.0581418707150828,0.2967629085973775,155.43858290513933
83,0.083,0.0594958203790793,0.3003179020129631,157.30001439109606
84,0.084,0.0608020874936277,0.3038710859880804,159.1603693385807
85,0.085,0.0622450075633266,0.3074219874806647,161.019588587102
86,0.086,0.0637429420490669,0.3109713474647285,162.87766326053543
87,0.087,0.0651324227448269,0.3145196675523447,164.73448106882958
88,0.088,0.0665041672304528,0.3180669092164034,166.5905655920039
89,0.089,0.0679294159454772,0.3216099888817524,168.44416537192893
90,0.09,0.0695238178799336,0.3251484362125039,170.29504124126632
91,0.091,0.0708216604534135,0.328682162737633,172.14341144963686
92,0.092,0.0723435165097381,0.3322092077921235,173.98839667081052
93,0.093,0.0738336238797738,0.335731800386874,175.83101860279177
94,0.094,0.0753942752891049,0.3392463841968097,177.66939347084184
95,0.095,0.0769937935871112,0.3427526812177484,179.50334296761585
96,0.096,0.0785832367457141,0.3462519139530327,181.33371828106783
97,0.097,0.08008075535461,0.3497485385793765,183.16268555616958
98,0.098,0.081799316205372,0.3532381591160003,184.98775642153038
99,0.099,0.0834546343070635,0.3567194694513503,186.80820574240929
100,0.1,0.0851332350396368,0.3601891797423991,188.62255854795768
