,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0073602031462407,3.8387623016831496
2,0.002,0.0,0.0147204062924814,7.677524603366302
3,0.003,0.0,0.0220806094387222,11.516286905049455
4,0.004,0.0,0.0294408125849629,15.355049206732595
5,0.005,1.0269094327079107e-06,0.0368010157312037,19.1938115084158
6,0.006,1.0565264394333126e-05,0.0441612188774444,23.032573810098928
7,0.007,5.5446680032826414e-05,0.0515214220236851,26.871336111782103
8,0.008,8.964625524031608e-05,0.0588816251699259,30.710098413465207
9,0.009,0.0001474655966859174,0.0662418283161667,34.54886071514842
10,0.01,0.00024769331838742043,0.0736020314624075,38.38762301683159
11,0.011,0.0003810492362997672,0.080962234608648,42.22638531851471
12,0.012,0.0005688054936916348,0.0883224377548888,46.06514762019784
13,0.013,0.0006998983837665103,0.0956826409011297,49.9039099218811
14,0.014,0.0008923555008476801,0.1030428440473702,53.74267222356423
15,0.015,0.0011255037270783,0.1104030471936112,57.581434525247616
16,0.016,0.0014216434905065,0.1177632503398519,61.42019682693036
17,0.017,0.0017931839873607,0.1251228447422617,65.25857778019645
18,0.018,0.0024145494715854,0.1324785568218214,69.09451221595546
19,0.019,0.0032354048647161,0.139831871699495,72.92892515773414
20,0.02,0.0040457096018116,0.1471865950167508,76.76422494054975
21,0.021,0.0050574730373791,0.1545301061701808,80.59341604963423
22,0.022,0.0061981132619554,0.1618656950555488,84.4182739604387
23,0.023,0.0076060082634988,0.1691986665994237,88.24153719658702
24,0.024,0.0090162353970655,0.1765235938762066,92.06013252506553
25,0.025,0.0108010783362994,0.1838458200652822,95.87734328599747
26,0.026,0.0127003183936776,0.1911646697243827,99.69235693604995
27,0.027,0.0146019894308984,0.1984771665072233,103.50430214809445
28,0.028,0.0166744589044656,0.2057754783768559,107.30951430682539
29,0.029,0.0188165799415365,0.2130654622917857,111.11029024982948
