,strain [1],vMdamFac,vonMisesdamind,stress [MPa]
0,0.0,0.0,0.0,0.0
1,0.001,0.0,0.0032709067745303,1.7128218327672997
2,0.002,0.0,0.0065418135490607,3.4256436655346
3,0.003,0.0,0.0098127203235911,5.1384654983019
4,0.004,0.0,0.0130836270981215,6.851287331069209
5,0.005,0.0,0.016354533872652,8.564109163836507
6,0.006,0.0,0.0196254406471823,10.276930996603797
7,0.007,0.0,0.0228963474217127,11.98975282937112
8,0.008,0.0,0.0261672541962431,13.70257466213839
9,0.009,0.0,0.0294381609707736,15.41539649490571
10,0.01,0.0,0.032709067745304,17.128218327673004
11,0.011,0.0,0.0359799745198344,18.841040160440304
12,0.012,0.0,0.0392508812943647,20.553861993207587
13,0.013,0.0,0.0425217880688951,22.26668382597488
14,0.014,0.0,0.0457926948434256,23.979505658742248
15,0.015,0.0,0.049063601617956,25.6923274915095
16,0.016,7.657101934083984e-07,0.0523345083924863,27.405149324276806
17,0.017,2.879134157743867e-06,0.0556054151670167,29.117971157044174
18,0.018,5.31541651825821e-06,0.0588763219415472,30.8307929898114
19,0.019,1.85804141161172e-05,0.0621472287160775,32.54361482257864
20,0.02,2.952561774594619e-05,0.0654181354906081,34.25643665534603
21,0.021,6.067253908662915e-05,0.0686890422651382,35.96925848811342
22,0.022,0.00010347250700142056,0.0719599490396689,37.682080320880594
23,0.023,0.0001830268624199464,0.0752308558141991,39.39490215364799
24,0.024,0.0004037652634124472,0.0785017625887294,41.10772398641519
25,0.025,0.0005148672945064334,0.08177266936326,42.82054581918252
26,0.026,0.0006477575059380466,0.0850435761377905,44.53336765194976
27,0.027,0.0008359454336878292,0.0883144829123208,46.24618948471732
28,0.028,0.0010284175830548,0.0915853896868511,47.959011317484396
29,0.029,0.001225885556864,0.0948562964613815,49.671833150251814
30,0.03,0.0014551938908481,0.098127203235912,51.384654983018976
31,0.031,0.0017045246428438,0.1013981100104425,53.097476815786315
32,0.032,0.0019717435489584,0.1046690167849724,54.8102986485536
33,0.033,0.0023547047280114,0.1079399235595035,56.52312048132096
34,0.034,0.0027274679602591,0.1112108303340335,58.23594231408836
35,0.035,0.0030339624865327,0.1144817371085642,59.94876414685557
36,0.036,0.0034020797878634,0.1177526438830943,61.6615859796228
37,0.037,0.0038744887094676,0.1210235506576251,63.374407812390054
38,0.038,0.0044137381601067,0.1242944574321551,65.08722964515728
39,0.039,0.0050608231631774,0.1275653642066854,66.80005147792484
40,0.04,0.0057022139866661,0.1308362709812164,68.51287331069206
41,0.041,0.0063759424867317,0.1341071777557468,70.22569514345936
42,0.042,0.0073371100095787,0.1373780845302766,71.9385169762268
43,0.043,0.0081559557330894,0.1406489913048078,73.65133880899415
44,0.044,0.00886727964855,0.1439198980793378,75.36416064176119
45,0.045,0.0097930468715058,0.1471908048538682,77.07698247452876
46,0.046,0.0106319237043229,0.1504617116283983,78.78980430729591
47,0.047,0.011421936381929,0.1537326184029288,80.50262614006306
48,0.048,0.0124103203112358,0.1570035251774588,82.21544797283038
49,0.049,0.0132840943495748,0.1602744319519891,83.92826980559792
50,0.05,0.0142624425844171,0.16354533872652,85.64109163836505
51,0.051,0.0151727865220785,0.1668162455010499,87.35391347113273
52,0.052,0.0160434714124101,0.1700871522755807,89.06673530389945
53,0.053,0.0171046881820783,0.1733579986697762,90.77951769695613
54,0.054,0.0181020879163694,0.1766286784472089,92.49219029922209
55,0.055,0.0191305250758963,0.1798991228305416,94.20470941623071
56,0.056,0.0201433334664725,0.1831694818649866,95.91717278958566
57,0.057,0.0212877499226088,0.1864397281613815,97.62956139226684
58,0.058,0.0224587930633609,0.1897099031525556,99.34190421544876
59,0.059,0.0235845189884053,0.1929800689062416,101.05423920353005
60,0.06,0.0247221599913455,0.1962500350302435,102.76644014350072
61,0.061,0.0257416947077244,0.1995195575834608,104.47839066578621
62,0.062,0.0268858505060445,0.202787718800166,106.18954006176534
63,0.063,0.0280540321620007,0.2060550056489957,107.90017029433031
64,0.064,0.0291923370514959,0.2093216490863349,109.61045130312826
65,0.065,0.0305343660050003,0.2125873247426561,111.32018624023674
66,0.066,0.0316869575651687,0.2158523496025553,113.02954976229195
67,0.067,0.0330426976555604,0.2191174047357049,114.73894793388402
68,0.068,0.0341382781167779,0.2223812635178514,116.44774215932509
69,0.069,0.0352324046817992,0.2256435214899468,118.1557458760475
70,0.07,0.0363716499983783,0.2289042607225759,119.86294253040803
71,0.071,0.0376191237534377,0.2321636271969582,121.56934597344308
72,0.072,0.0388273856899911,0.2354208390853549,123.27455088345123
73,0.073,0.04020417499632,0.2386755827957277,124.97839534757983
74,0.074,0.0415664769447784,0.2419280704537794,126.68091018592436
75,0.075,0.0428416611493595,0.2451781829982502,128.38189150748315
76,0.076,0.0442715652147663,0.2484242050986005,130.0805345291759
77,0.077,0.0457123318231382,0.2516654260350583,131.7765106137117
78,0.078,0.0472536609257803,0.2548970349375777,133.4678185030902
79,0.079,0.0485653997705722,0.2581192589941483,135.15442834170065
80,0.08,0.0498758408569205,0.2613315780621417,136.8358043800119
81,0.081,0.0514055158618816,0.264538680300672,138.5143881445361
82,0.082,0.0529105818542612,0.2677454646491475,140.19256381870377
83,0.083,0.0543389323403306,0.2709499723901601,141.86933918016234
84,0.084,0.0558084753254195,0.2741510474724473,143.54416364038306
85,0.085,0.0571220163594723,0.2773469116184249,145.21581415278644
86,0.086,0.0585679180914317,0.280540987944703,146.88629488562282
87,0.087,0.0599535765541474,0.2837288389905419,148.55336534512307
88,0.088,0.0614945730667291,0.2869115806433741,150.21758516685395
89,0.089,0.0630461758037995,0.2900906439579342,151.87971873609806
90,0.09,0.0645590927229301,0.2932654677544917,153.53935730226505
91,0.091,0.0660735568903483,0.2964387214630056,155.19824302182127
92,0.092,0.0675294513504416,0.2996031584096232,156.8526653069561
93,0.093,0.0689479896871251,0.302760625760275,158.5035694299642
94,0.094,0.0704326550280245,0.3059113982471086,160.15118992987075
95,0.095,0.0718084975478884,0.3090536270445151,161.79444563601797
96,0.096,0.0733031953420623,0.3121882930277604,163.43366474145142
97,0.097,0.0746541856284951,0.3153122894435402,165.06738447798529
98,0.098,0.0761746043157161,0.3184317495250874,166.6987725364054
99,0.099,0.0776059204564978,0.3215446219585683,168.32651398292478
